Year,Month,Day,Hour,CH,TH,TS,SA,ZH,PE,MO
2014,6,24,16,0,0.50187,0,0,0,0,0
2014,6,24,17,0,0.4467065,0,0,0,0,0
2014,6,24,18,0,0.45458,0,0,0,0,0
2014,6,24,19,0,0.455676,0,0,0,0,0
2014,6,24,20,0,0.438314,0,0,0,0,0
2014,6,24,21,0,0.425809,0,0,0,0,0
2014,6,24,22,0,0.349985,0,0,0,0,0
2014,6,24,23,0,0.355779,0,0,0,0,0
2014,6,25,0,0,0.4050345,0,0,0,0,0
2014,6,25,1,0,0.392431,0,0,0,0,0
2014,6,25,2,0,0.4682605,0,0,0,0,0
2014,6,25,3,0,0.57405,0,0,0,0,0
2014,6,25,4,0,0.55337,0,0,0,0,0
2014,6,25,5,0,0.52037,0,0,0,0,0
2014,6,25,6,0,0.59948,0,0,0,0,0
2014,6,25,7,0,0.587435,0,0,0,0,0
2014,6,25,8,0,0.604275,0,0,0,0,0
2014,6,25,9,0,0.617535,0,0,0,0,0
2014,6,25,10,0,0.51343,0,0,0,0,0
2014,6,25,11,0,0.50359,0,0,0,0,0
2014,6,25,12,0,0.48435,0,0,0,0,0
2014,6,25,13,0,0.4082945,0,0,0,0,0
2014,6,25,14,0,0.3890245,0,0,0,0,0
2014,6,25,15,0,0.376124,0,0,0,0,0
2014,6,25,16,0,0.398731,0,0,0,0,0
2014,6,25,17,0,0.357668,0,0,0,0,0
2014,6,25,18,0,0.365183,0,0,0,0,0
2014,6,25,19,0,0.378527,0,0,0,0,0
2014,6,25,20,0,0.390243,0,0,0,0,0
2014,6,25,21,0,0.3925725,0,0,0,0,0
2014,6,25,22,0,0.419295,0,0,0,0,0
2014,6,25,23,0,0.393848,0,0,0,0,0
2014,6,26,0,0,0.424025,0,0,0,0,0
2014,6,26,1,0,0.4107305,0,0,0,0,0
2014,6,26,2,0,0.405404,0,0,0,0,0
2014,6,26,3,0,0.508725,0,0,0,0,0
2014,6,26,4,0,0.61529,0,0,0,0,0
2014,6,26,5,0,0.67006,0,0,0,0,0
